restaurant name,rating,content,label,content_clean,Tokenized,predicted_subjectivity
Konomi Zen,3,Crunchy tempura esp the vegetables,2.0,Crunchy the vegetable,"[[('Crunchy', 'NNP'), ('the', 'DT'), ('vegetable', 'NN')]]",0.0
Vincent Western Food,5,"this is one of the best western food i've eaten! they serve restaurant style food in a hawker centre, and the food is really worth the money! the food is not very expensive and the portion is really reasonable, i would recommend trying this!",1.0,this is one of the best western food eaten they serve restaurant style food in a hawker and the food is really worth the money the food is not very expensive and the portion is really reasonable i would recommend trying this,"[[('this', 'DT'), ('is', 'VBZ'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('best', 'JJS'), ('western', 'JJ'), ('food', 'NN'), ('eaten', 'IN'), ('they', 'PRP'), ('serve', 'VBP'), ('restaurant', 'JJ'), ('style', 'NN'), ('food', 'NN'), ('in', 'IN'), ('a', 'DT'), ('hawker', 'NN'), ('and', 'CC'), ('the', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('really', 'RB'), ('worth', 'JJ'), ('the', 'DT'), ('money', 'NN'), ('the', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('very', 'RB'), ('expensive', 'JJ'), ('and', 'CC'), ('the', 'DT'), ('portion', 'NN'), ('is', 'VBZ'), ('really', 'RB'), ('reasonable', 'JJ'), ('i', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('trying', 'VBG'), ('this', 'DT')]]",0.30769230769230765
Siam Square Mookata - Best Mookata Restaurant in Singapore,5,Many choice of food to select. Love their teriyaki pork belly n chicken. Only that sometimes miss out order and need to ask again. Usually I pay using favepay n get rebate for my nxt visit but this month I came no more favepay.,1.0,Many choice of food to select Love their pork belly n chicken Only that sometimes miss out order and need to ask again Usually I pay n get rebate for my visit but this month I came no more,"[[('Many', 'JJ'), ('choice', 'NN'), ('of', 'IN'), ('food', 'NN'), ('to', 'TO'), ('select', 'VB'), ('Love', 'NNP'), ('their', 'PRP$'), ('pork', 'NN'), ('belly', 'RB'), ('n', 'RB'), ('chicken', 'VBN'), ('Only', 'RB'), ('that', 'IN'), ('sometimes', 'RB'), ('miss', 'VB'), ('out', 'RP'), ('order', 'NN'), ('and', 'CC'), ('need', 'NN'), ('to', 'TO'), ('ask', 'VB'), ('again', 'RB'), ('Usually', 'NNP'), ('I', 'PRP'), ('pay', 'VBP'), ('n', 'JJ'), ('get', 'NN'), ('rebate', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('visit', 'NN'), ('but', 'CC'), ('this', 'DT'), ('month', 'NN'), ('I', 'PRP'), ('came', 'VBD'), ('no', 'DT'), ('more', 'RBR')]]",0.6333333333333333
Old Chang Kee,1,Buying snacks for customers but system maintenance cant issue receipt. Waited 10mins system stil not up. Ock should consider having manual receipt as backup so as not to lose some business as a result,0.0,snack for customer but system maintenance cant issue receipt 10mins system not up Ock should consider manual receipt a backup so a not to lose some business a a result,"[[('snack', 'NN'), ('for', 'IN'), ('customer', 'NN'), ('but', 'CC'), ('system', 'NN'), ('maintenance', 'NN'), ('cant', 'JJ'), ('issue', 'NN'), ('receipt', 'VBZ'), ('10mins', 'CD'), ('system', 'NN'), ('not', 'RB'), ('up', 'IN'), ('Ock', 'NNP'), ('should', 'MD'), ('consider', 'VB'), ('manual', 'JJ'), ('receipt', 'NN'), ('a', 'DT'), ('backup', 'NN'), ('so', 'RB'), ('a', 'DT'), ('not', 'RB'), ('to', 'TO'), ('lose', 'VB'), ('some', 'DT'), ('business', 'NN'), ('a', 'DT'), ('a', 'DT'), ('result', 'NN')]]",0.0
Hiang Ji Cantonese Roasts,1,Seriously overprice and rude service. Avoid at all cost,0.0,Seriously overprice and rude service Avoid at all cost,"[[('Seriously', 'RB'), ('overprice', 'NN'), ('and', 'CC'), ('rude', 'JJ'), ('service', 'NN'), ('Avoid', 'NNP'), ('at', 'IN'), ('all', 'DT'), ('cost', 'NN')]]",0.6333333333333333
Long John Silver's,2,The person say closing soon at 730 pm but it closes at 8 smlj,0.0,The person say soon at 730 but it close at 8,"[[('The', 'DT'), ('person', 'NN'), ('say', 'VBP'), ('soon', 'RB'), ('at', 'IN'), ('730', 'CD'), ('but', 'CC'), ('it', 'PRP'), ('close', 'RB'), ('at', 'IN'), ('8', 'CD')]]",0.0
Tamako Meal,3,"Had the katsu Don, katsu curry rice and salmon roll. Decent meal for the price paid.",1.0,Had the Don curry rice and salmon roll Decent meal for the price,"[[('Had', 'VBD'), ('the', 'DT'), ('Don', 'NNP'), ('curry', 'NN'), ('rice', 'NN'), ('and', 'CC'), ('salmon', 'NN'), ('roll', 'NN'), ('Decent', 'NNP'), ('meal', 'NN'), ('for', 'IN'), ('the', 'DT'), ('price', 'NN')]]",0.6666666666666666
Soi Thai Kitchen - Toa Payoh,5,"The food is delicious, affordable, and the service is attentive, suitable for a large or small Thai restaurant.",1.0,The food is delicious affordable and the service is attentive suitable for a large or small restaurant,"[[('The', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('delicious', 'JJ'), ('affordable', 'JJ'), ('and', 'CC'), ('the', 'DT'), ('service', 'NN'), ('is', 'VBZ'), ('attentive', 'JJ'), ('suitable', 'JJ'), ('for', 'IN'), ('a', 'DT'), ('large', 'JJ'), ('or', 'CC'), ('small', 'JJ'), ('restaurant', 'NN')]]",0.6957142857142856
Bangkok Street Mookata - Lor 8 Toa Payoh,5,"Bangkok Street mookata is probably one of the better places to eat mookata, the prices are quite cheap with less than $15 to $20 per person. The place is quite packed, I suggest coming earlier to book a seat as it can take anywhere between 30 mins to 1 hour for a seat depending on group size.

The portion for food is generous and good and for the large eaters, don't worry, you will be full. I have gone several times and it is always filling",1.0,Bangkok Street is probably one of the better place to eat the price are quite cheap with than 15 to 20 per person The place is quite I suggest coming to book a seat a it can take anywhere between 30 min to 1 hour for a seat depending on group size The portion for food is generous and good and for the large eater dont worry you will be full I have gone several time and it is always filling,"[[('Bangkok', 'NNP'), ('Street', 'NNP'), ('is', 'VBZ'), ('probably', 'RB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('better', 'JJR'), ('place', 'NN'), ('to', 'TO'), ('eat', 'VB'), ('the', 'DT'), ('price', 'NN'), ('are', 'VBP'), ('quite', 'RB'), ('cheap', 'JJ'), ('with', 'IN'), ('than', 'IN'), ('15', 'CD'), ('to', 'TO'), ('20', 'CD'), ('per', 'IN'), ('person', 'NN'), ('The', 'DT'), ('place', 'NN'), ('is', 'VBZ'), ('quite', 'RB'), ('I', 'PRP'), ('suggest', 'VBP'), ('coming', 'VBG'), ('to', 'TO'), ('book', 'NN'), ('a', 'DT'), ('seat', 'NN'), ('a', 'DT'), ('it', 'PRP'), ('can', 'MD'), ('take', 'VB'), ('anywhere', 'RB'), ('between', 'IN'), ('30', 'CD'), ('min', 'NNS'), ('to', 'TO'), ('1', 'CD'), ('hour', 'NN'), ('for', 'IN'), ('a', 'DT'), ('seat', 'NN'), ('depending', 'VBG'), ('on', 'IN'), ('group', 'NN'), ('size', 'NN'), ('The', 'DT'), ('portion', 'NN'), ('for', 'IN'), ('food', 'NN'), ('is', 'VBZ'), ('generous', 'JJ'), ('and', 'CC'), ('good', 'JJ'), ('and', 'CC'), ('for', 'IN'), ('the', 'DT'), ('large', 'JJ'), ('eater', 'NN'), ('dont', 'NN'), ('worry', 'VBP'), ('you', 'PRP'), ('will', 'MD'), ('be', 'VB'), ('full', 'JJ'), ('I', 'PRP'), ('have', 'VBP'), ('gone', 'VBN'), ('several', 'JJ'), ('time', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('always', 'RB'), ('filling', 'VBG')]]",0.46309523809523806
Yuba Hut,3,"Expensive! Even of you decide to pay extra for something good, this is not the place to go. Average food taste with very few bright points.

The Ebi Tempura Don: the tempura was WAY too thick.
Chicken teriyaki Don: there was more skin than actual chicken.
Aburi Salmon Mentai: ridiculously small for the price
Salmon Aburi maki: only thing I ordered that I cannot complain about.

When they open I was so excited to have Japanese food in the neighborhood, but unfortunately this is not what you're looking for.",0.0,Expensive Even of you decide to pay extra for something good this is not the place to go Average food taste with very few bright point The Don the wa WAY too thick Chicken Don there wa more skin than actual chicken Salmon ridiculously small for the price Salmon maki only thing I ordered that I can not complain about When they open I wa so excited to have food in the neighborhood but unfortunately this is not what looking for,"[[('Expensive', 'JJ'), ('Even', 'RB'), ('of', 'IN'), ('you', 'PRP'), ('decide', 'VBP'), ('to', 'TO'), ('pay', 'VB'), ('extra', 'NNS'), ('for', 'IN'), ('something', 'NN'), ('good', 'JJ'), ('this', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('the', 'DT'), ('place', 'NN'), ('to', 'TO'), ('go', 'VB'), ('Average', 'JJ'), ('food', 'NN'), ('taste', 'NN'), ('with', 'IN'), ('very', 'RB'), ('few', 'JJ'), ('bright', 'JJ'), ('point', 'NN'), ('The', 'DT'), ('Don', 'NNP'), ('the', 'DT'), ('wa', 'JJ'), ('WAY', 'NNP'), ('too', 'RB'), ('thick', 'JJ'), ('Chicken', 'NNP'), ('Don', 'NNP'), ('there', 'EX'), ('wa', 'VBZ'), ('more', 'JJR'), ('skin', 'JJ'), ('than', 'IN'), ('actual', 'JJ'), ('chicken', 'NN'), ('Salmon', 'NNP'), ('ridiculously', 'RB'), ('small', 'JJ'), ('for', 'IN'), ('the', 'DT'), ('price', 'NN'), ('Salmon', 'NNP'), ('maki', 'VBZ'), ('only', 'RB'), ('thing', 'NN'), ('I', 'PRP'), ('ordered', 'VBD'), ('that', 'IN'), ('I', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('complain', 'VB'), ('about', 'IN'), ('When', 'WRB'), ('they', 'PRP'), ('open', 'VBP'), ('I', 'PRP'), ('wa', 'VBP'), ('so', 'RB'), ('excited', 'VBN'), ('to', 'TO'), ('have', 'VB'), ('food', 'NN'), ('in', 'IN'), ('the', 'DT'), ('neighborhood', 'NN'), ('but', 'CC'), ('unfortunately', 'RB'), ('this', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('what', 'WP'), ('looking', 'VBG'), ('for', 'IN')]]",0.5846875
