uid,restaurant name,rating,content,Label #1,Label #2,Label #3,Label Eval
ChdDSUhNMG9nS0VJQ0FnSUNpOW9uQW53RRAB,Konomi Zen,3,Crunchy tempura esp the vegetables,2,2,2,2
ChdDSUhNMG9nS0VJQ0FnSURJMk5UZXJRRRAB,Vincent Western Food,5,"this is one of the best western food i've eaten! they serve restaurant style food in a hawker centre, and the food is really worth the money! the food is not very expensive and the portion is really reasonable, i would recommend trying this!",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSURPazRQdEdREAE,Siam Square Mookata - Best Mookata Restaurant in Singapore,5,Many choice of food to select. Love their teriyaki pork belly n chicken. Only that sometimes miss out order and need to ask again. Usually I pay using favepay n get rebate for my nxt visit but this month I came no more favepay.,1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUMwaTlycm5nRRAB,Old Chang Kee,1,Buying snacks for customers but system maintenance cant issue receipt. Waited 10mins system stil not up. Ock should consider having manual receipt as backup so as not to lose some business as a result,0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUNvdjc2X3BBRRAB,Hiang Ji Cantonese Roasts,1,Seriously overprice and rude service. Avoid at all cost,0,0,0,0
ChdDSUhNMG9nS0VJQ0FnSUN5ajRETnp3RRAB,Long John Silver's,2,The person say closing soon at 730 pm but it closes at 8 smlj,0,0,0,0
ChZDSUhNMG9nS0VJQ0FnSURXOHNHU2VREAE,Tamako Meal,3,"Had the katsu Don, katsu curry rice and salmon roll. Decent meal for the price paid.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUR1ODRyTWF3EAE,Soi Thai Kitchen - Toa Payoh,5,"The food is delicious, affordable, and the service is attentive, suitable for a large or small Thai restaurant.",1,1,1,1
ChZDSUhNMG9nS0VJQ0FnSUNZaGVpLVl3EAE,Bangkok Street Mookata - Lor 8 Toa Payoh,5,"Bangkok Street mookata is probably one of the better places to eat mookata, the prices are quite cheap with less than $15 to $20 per person. The place is quite packed, I suggest coming earlier to book a seat as it can take anywhere between 30 mins to 1 hour for a seat depending on group size.

The portion for food is generous and good and for the large eaters, don't worry, you will be full. I have gone several times and it is always filling",1,1,1,1
ChdDSUhNMG9nS0VJQ0FnSUNzeTZDNHVnRRAB,Yuba Hut,3,"Expensive! Even of you decide to pay extra for something good, this is not the place to go. Average food taste with very few bright points.

The Ebi Tempura Don: the tempura was WAY too thick.
Chicken teriyaki Don: there was more skin than actual chicken.
Aburi Salmon Mentai: ridiculously small for the price
Salmon Aburi maki: only thing I ordered that I cannot complain about.

When they open I was so excited to have Japanese food in the neighborhood, but unfortunately this is not what you're looking for.",0,0,0,0
