uid,restaurant name,rating,content
ChZDSUhNMG9nS0VJQ0FnSUQyN3VhSGZREAE,Cava Singapore,4,"Decent cafe food. Outdoor area is pet-friendly, no pets allowed indoors. Their chicken waffle dish is worth a try! Can get pretty crowded with family and kids during dinner hours. Overall nice ambience."
ChZDSUhNMG9nS0VJQ0FnSURPcHQ3V0FnEAE,Cava Singapore,4,"Went on a weekday afternoon for lunch, not much crowd on a weekday. This cafe is quite spacious, have an outdoor and indoor seating area. I ordered the Chicken waffles Chicken was tender and delicious. The only complain was quite warm indoor, seem like the air-conditional is not working. Overall, wonderful place to chill and will visit again."
ChZDSUhNMG9nS0VJQ0FnSURXNHZXdU9nEAE,Cava Singapore,5,First time coming to this cafe and will definitely go back again. It’s such a nice and comfortable place to chill in..The food is nice & My family simply love all the varieties that we have ordered.. 👍🏻
ChZDSUhNMG9nS0VJQ0FnSUNlMzQtbk1nEAE,Cava Singapore,4,"Visited them on consecutive Sat and Sun! Service staffs are friendly and polite. Ordered their mushroom risotto and truffle fries for both days. It was really good! Amazingly, their coffee was a gem for us. We didn’t have high expectations on their coffee yet it was the star for our brunch. The sea salt caramel latte was da bomb! Not sweet yet very smooth and produce good aroma of the coffee. Will bring our kiddos back for the food!"
ChdDSUhNMG9nS0VJQ0FnSURXeThEMjBRRRAB,Cava Singapore,5,"It's new !!! Have outdoor (pets allowed) and indoor seating. Nice, clean, spacious and cosy. Ordered the all day breakfast set which was tasty and a cafe latte. Will visit again. Only complain was the need to improve their online menu with picture of the food!"
ChdDSUhNMG9nS0VJQ0FnSUQycGREUzRnRRAB,Cava Singapore,5,We were here for the vet's appt and was so glad for a cafe that welcomes little friends. Better than that the food is very good. The pasta was fresh yet light. We also had the croffles with a very crispy chicken. I would have stayed longer for dessert but with the current humidity we have to come back when we can sit indoors without the little friend. Very good dining experience and good offering of wines too!
ChdDSUhNMG9nS0VJQ0FnSUNPMDY2WnN3RRAB,Cava Singapore,4,"Went on a weekday for brunch, was a nice and quiet place to chill. Really enjoyed the pasta, which is a recommended dish . Quite a decent amount of seafood (scallops, prawns, clams) given 👍🏼👍🏼"
ChZDSUhNMG9nS0VJQ0FnSUNlMHVPSlBnEAE,Cava Singapore,5,A nice cafe tucked away from the hustle and bustle of the city. Consists of both indoor air conditioned and outdoor seating suitable for pet owners which is a plus. Ample seating space inside as the restaurant stretches quite far in. Service is good and relatively fast. Decor is pretty and they have interesting pieces of furniture and contrasting wallpapers and panels for a varied effect. Tried their speculoos latte and Peter’s Pancake which is quite good 👍😊
ChZDSUhNMG9nS0VJQ0FnSUNPME1heGRBEAE,Cava Singapore,5,"Pretty good food and service at reasonable prices. The rosti waffles were very delicious, although we wish they could be even crispier. Pancakes are fluffy, scrambled egg is creamy, bacon is not too greasy. The melon tea smells very calming although the melon taste itself wasn't very strong. The online ordering platform was missing photos for several items, which made it hard to visualize what the dish would look like or the portion size.

Relaxing simple decor. The outdoor area is pet-friendly, lotsa cute dogs there! Indoors has plenty of seating. There is also a small garden area on the other end, with goldfishes swimming around in a little rock fountain."
ChdDSUhNMG9nS0VJQ0FnSUQycnZxRzVRRRAB,Cava Singapore,5,"Wow.. love this place for its space... wide spacious and hippy green ambience... Nice!

Simply the space and deco makes this cafe super comfortable to laze and chill in.

And I'm glad the great food goes well with ambience too..

Been here twice already. And their pastas and burger is great!

And their online loyalty program is definitely tempting me to go back a 3rd 4th time...
And its only tempting because food and ambience is great..

Would definitely be back many more times"
ChZDSUhNMG9nS0VJQ0FnSURXc3UzRUpBEAE,Cava Singapore,5,"Found a nice new cafe. Great food, pet friendly and can cycle over the next round. Just a bit longer waiting time for a seat so better to book advance 🥂"
ChdDSUhNMG9nS0VJQ0FnSUNlMTlyQ21RRRAB,Cava Singapore,4,"My first attempt lunch experience.

Personally, I like their main menu items, the savoury items are not to my liking.

Overall dining experience is good. Nice place and ambient."
ChZDSUhNMG9nS0VJQ0FnSUQyekxpSkxnEAE,Cava Singapore,3,"Strong contender to the existing upper Thomson road cafes like Columbus Coffee. Overall good brunch food, with nice platting and interior design. However could do better with their coffees (quite awful Americano). They should like consider providing better utensils (fork,soon) as the current ones are obviously of sub standard quality, similar to the ones we see in food court. It’s the non polished type and didn’t look or feel sparkling clean. Furthermore, all of their fork has stains between the grooves. Asked for change but all had stains. Ended up not using their fork. Lost my appetite a little. Chicken was great but wished they drained the excess oil before serving. The plate was filled with excess oil from the chicken midway during meal. Overall 3 stars with lots of potential for improvement."
