uid,restaurant name,rating,content
ChdDSUhNMG9nS0VJQ0FnSUMyOVl2cXJBRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"Tian Yuan Xiang SG - 田原香 新加坡's drip chicken essence has a sweet light taste to it. Even though it is a concentrated double-boiled chicken broth with no water added to it, it has a clean fresh savoury flavour. Since the best time to consume it is between morning to 4pm, i will usually feed it to the kids before sending them to school.

Tian Yuan Xiang original drip chicken essence  is individually packed in frozen sachets. It only use natural chicken (free from drugs or injections) and the meat are Halal Certified. To consume it, you can either heat it up in a bowl of hot water or simple put in a microwave for few minutes. So convienent."
ChdDSUhNMG9nS0VJQ0FnSUMyaV82ZjJnRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"One bowl a day to supplement original Qi, Strengthen body and  debate fatigue.  I will usually drink it in the morning (or anytime before 4pm) simply by thawing a pack and double boiling it or microwaving it. Fast and convenient!

The best part is that each bowl is made from halal chicken and has a is very pleasant taste with no bitter aftertaste, just like drinking homemade chicken soup."
ChdDSUhNMG9nS0VJQ0FnSUMyMWNHOHZRRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"First try frozen chicken essence
simple into a bowl, steam it in a rice cooker with 40ml of water in the outer pot for 5-8 mins.
bowl of chicken essence every morning,
Give me energies for the whole day! 💪🏻"
ChZDSUhNMG9nS0VJQ0FnSUNXNEpQVVRnEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,I didn’t like the taste of chicken essence. I had to give it a try when I was pregnant. I didn’t expect it to taste so good.
ChZDSUhNMG9nS0VJQ0FnSUMyemU3Ukx3EAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,The taste is so smooth and so rich. It is easy to prepare and I love to share this with my family and kids.
ChdDSUhNMG9nS0VJQ0FnSUMyaWRMLXBBRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"What I like about Tian Yuan Xiang Original Chicken Essence is that it is very easy to prepare, and tastes so good! Not smelly at all!"
ChZDSUhNMG9nS0VJQ0FnSUMybTVPNUpBEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Tried it as Lin Chi Lin is their ambassador. It is super comforting to combat my fatigue and provides me with a high nutritional value without the bad thing. It tastes better with traditional chicken essence. I always pour one bag in my cooked mee suah as quick light meal fix. My life saver during my morning sickness period.
ChZDSUhNMG9nS0VJQ0FnSUMybVllZ1NnEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,No unpleasant fishy taste and not bitter at all! So easy to heat up too! Love it helps to boost my body energy and fight fatigue!
ChZDSUhNMG9nS0VJQ0FnSUMyLVpDbFNnEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Love it! It’s so easy to prepare by just popping them into a pot  and drink it! Taste wise it tasted like chicken soup very comforting! 😍
ChZDSUhNMG9nS0VJQ0FnSUNHNDZxc1RBEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"Non-bitter chicken essence, tastes like chicken soup.
My kids love it. Definitely worth it!"
ChdDSUhNMG9nS0VJQ0FnSUMyNF9qSl93RRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Really love shopping here plus the customer service is really nice ! The chicken essence is really convenient for a mother like me who needs the extra boost!
ChZDSUhNMG9nS0VJQ0FnSUNHbTd6ZGRREAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Love the chicken essence taste. Unlike other brand that I tried before gt a weird chicken taste. This taste exactly like double boiled chicken soup. Highly recommended it. ❤️❤️❤️❤️
ChZDSUhNMG9nS0VJQ0FnSUNXaW9Eb0dnEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,The chicken essences really taste good unlike other brands and got me into the pink of health. Customer service was also tip top!
ChdDSUhNMG9nS0VJQ0FnSUMyellHXy1BRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Love the individual sachet. Very convenient and easy to warm up.
ChdDSUhNMG9nS0VJQ0FnSUNHbTd6LWx3RRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,This one taste good like real chicken soup without me boiling few hrs. Convenient and easy to prepare..
ChZDSUhNMG9nS0VJQ0FnSUNHbTdpQWJBEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"Very convenient for working mom like us, heat it and drink it just on few minutes! The taste is good too..🥰"
ChdDSUhNMG9nS0VJQ0FnSUNHaTdhOTRnRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,it's really good and tastes just like chicken essence. convenient to heat up and consume
ChdDSUhNMG9nS0VJQ0FnSUNHaTUtMjlBRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"Great taste , took it for my wife confinement .. she really loves it , even me also used yo taste and love it !"
ChZDSUhNMG9nS0VJQ0FnSUNHaS1hRk9BEAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,The taste of the chicken essence like real chicken soup. Not like the usual chicken essence i got from supermarket
ChZDSUhNMG9nS0VJQ0FnSUNHaV9iU1hREAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Good taste! Very convenient for the whole family too. Will definitely buy again!
ChdDSUhNMG9nS0VJQ0FnSUNXNElQMnpRRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,"Delicious, not oily, it is the first time to drink"
ChZDSUhNMG9nS0VJQ0FnSUNHaTQ3M1JREAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,amazing flavour!
ChZDSUhNMG9nS0VJQ0FnSUNLc2RIWVlREAE,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,5,Good
ChdDSUhNMG9nS0VJQ0FnSUN5Z0xmbnlBRRAB,Tian Yuan Xiang (United Square) - Chicken Essence for Pregnancy in SG,3,"(Translated by Google) Unpleasant shopping experience

(Original)
不愉快的购物体验"
ChdDSUhNMG9nS0VJQ0FnSURXaVBMbzVBRRAB,Lao Beijing Square 2,5,"Remember visiting this place when I was young, recently visited it again and looks like it has had some modern revamp.

Food is consistently good and their usual specials like the Peking duck and popiah skin are a must order. We ordered some other items which were pretty good too.

Service was up to par and staff was on hand to attend almost immediately."
ChZDSUhNMG9nS0VJQ0FnSURPdWRId2VREAE,Lao Beijing Square 2,5,Very tasty chinese food. French bean(干扁四季豆)in particular was the best I have ever had. Also ordered their Zhenjiang Pork Rib (镇江排骨) and Poached Sliced Beef in Spicy Sauce (水煮牛肉) which were both very good as well. Overall a very enjoyable meal.
ChZDSUhNMG9nS0VJQ0FnSUN1aV9LT09nEAE,Lao Beijing Square 2,5,"Had an enjoyable dining experience at this newly renovated outlet. Interesting and delicious dishes. Attentive service from the crew, with Emily leading the team."
ChZDSUhNMG9nS0VJQ0FnSUQyNjRMdGZ3EAE,Lao Beijing Square 2,4,"Haven't been there in years, and I'm glad they are still around. I was pleasantly surprised to see that they offer DIY popiah, as I don't remember them having it on their menu. We ordered a set to try. The portions were good for 2-3 persons, with 6 popiah skins. I wish they had provided more skins as they tend to break. The ingredients were great, very delicious and fresh. The garlic paste and chilli sauce both pack a punch, so you might want to go easy on them at first. I didn't see any dried shrimp nor fresh prawns, so I think this dish is suitable for vegetarians as well.
The ambiance was very nice, plus the courteous and friendly staff all made dining there a delightful experience. Well worth checking out if you're around the area."
