uid,restaurant name,rating,content
ChZDSUhNMG9nS0VJQ0FnSUQyaWZtS2NnEAE,Asia Ghani Malay Stall,4,"I happened to walk into this coffeeshop and noticed this stall in the extreme left corner.

From their menu, I decided to have lontong as it has been a long while since I last ate.

I was expecting the usual bland lontong, but was pleasantly surprised by their lontong.

The rice cake was nice and firm enough without it being too soft and lumpy.  The piece of tofu was fried nicely, soft inside but firm on the outside.

The lontong gravy was also very flavorful, and when mixed with their sambal, it turned out to be a very good combination.

Overall this would be amongst the top 3 lontongs that I have eaten in SG.

Definitely worth trying their other dishes the next time I am in this coffee shop."
ChZDSUhNMG9nS0VJQ0FnSUN1d0pxZkNREAE,Asia Ghani Malay Stall,5,"Truly an iconic stall in the west. Be sure to get your breakfast here.

Nasi sambal goreng was really nice. Serunding and sambal were sweet but that’s ok."
ChRDSUhNMG9nS0VJQ0FnSUNlcnRSaBAB,Asia Ghani Malay Stall,1,"Today i bougth 2 pkt chicken frm jurong west st 91 its was so saltish tat we cannot even eat it.
End we throw the both pkts.
Plssss taste before serving customer in future.
We are not get it fr free.
$9 is also a hard money fr us.
Plsssss take note ya."
ChdDSUhNMG9nS0VJQ0FnSURPNTdQZXhRRRAB,Asia Ghani Malay Stall,5,"Tried their kway teow grg, lontong kering, nasi grg kampong, all so nice! My fav malay stall in jurong west so far! Highly recommended!"
ChZDSUhNMG9nS0VJQ0FnSUN1cGVxRFNBEAE,Asia Ghani Malay Stall,4,Good and authentic Malay dishes. The sambal goreng is really nice.
ChdDSUhNMG9nS0VJQ0FnSUNxa1piT3B3RRAB,Asia Ghani Malay Stall,2,"Ordered chicken rice the other day from this stall and it was subpar, portion was small and for $4 I expected to be a little bit more filled. Hence the rating"
ChdDSUhNMG9nS0VJQ0FnSUNjb19fVzVnRRAB,Asia Ghani Malay Stall,5,I tried their Nasi Sambal Goreng from Foodpanda and it was really good! Sambal was more on the spicy side but i can tahan spicy so !!! Will try their other food in future!
ChdDSUhNMG9nS0VJQ0FnSUR5dkt2czBnRRAB,Sinar 456 Malay Seafood,4,"Bought curry chicken with rice for takeaway, it’s tasty and good. Reminds me of childhood. But it’s too spicy, I wish they would tone down the spice. Quick and efficient order taking and service. Their other dishes also look delicious. $6.50 is a bit high for coffeeshop standard but the quality is there. Adequate portions. Will come back and try other dishes."
ChdDSUhNMG9nS0VJQ0FnSURVaTlqYTR3RRAB,Sinar 456 Malay Seafood,4,"First time trying their zi char and I would say that service and food are both relatively above average.

There are a few order takers so you will never be neglected, unless there’s a huge crowd who wants their order taken at the same time.

Upon ordering, the food came out in less than 10 minutes. This amazed me as I expected to wait for about 10-15 minutes.

Food is well seasoned and relatively fresh, given that they are always very crowded every night and opens till quite late at night for the supper crowd. The food is tasty even though it is halal.

A lot of seatings and turnaround is fast, so don’t have to worry there’s no seats.

Plus, the tables are clean compared to a lot of coffee shops.

Will definitely come back again to try their seafood fried rice as I saw a few who came to packet seafood fried rice."
ChZDSUhNMG9nS0VJQ0FnSUNXbDdtb093EAE,Sinar 456 Malay Seafood,5,"Seldom being there, unless we do visiting, the place was clean, well managed, there's a lady to check all your entry. The foods was good and the service was excellent, more choice, the price was reasonable too. Hope to be there again soon. The stall is inside Teh Tarik Eating House at blk 456 Jurong West. Thanks"
