uid,restaurant name,rating,content
ChdDSUhNMG9nS0VJQ0FnSURPamRpb2x3RRAB,Paradise Hotpot,4,"Located at #03-05 of the mall.
Not that crowded even during holiday.
Wide range of options for the soup base, do take note that each person was expected to have an individual pot. The staff did mention that even if 2 people wished to share a pot, it was alright.
The food as fresh and the quantity was sufficient. The price was still considered reasonable.
The service was alright, but to compare with other hotpot restaurants, clearly it was lacking.

The joke was, one staff couldn’t even recognise me when I stood at the entrance after my meal. She still asked me if I wanted to go in to have a meal. And after I told her, that I just had a meal inside. She gave me the weird look."
ChdDSUhNMG9nS0VJQ0FnSUMyeDZldndBRRAB,Paradise Hotpot,4,"A mini version of Beauty in a Pot, where each can order and individual hotpot. However, the good thing was is not like everyone has to order one hotpot, and two can actually share 1 too. No collagen broth but quite a few other flavours (more than Beauty), and ordered the ginseng chicken soup which was flavourful. The Tang O was very fresh and gave the soup an additional kick. Meat wise was also fresh. While I wouldn't say this is a budget friendly younger sibling of Beauty in a Pot, as the bill still came up to about $80+ for two. However, still worth to visit once in a while and especially if you are not planning in advance but kinda want it last minute."
ChdDSUhNMG9nS0VJQ0FnSUR1cjZIbGpRRRAB,Paradise Hotpot,4,"Went on Thursday, 130 pm, they have 30% discount daily until 230pm. Then 40% discount from 231pm - 415 pm.

The soups were great, the meats, we ordered beef, pork, fish all tasted good with no funky smell or taste.
Veggies - spinach, mushrooms also were fresh.

You also get a free gelo? (not sure)  dessert
There is an extra price for condiments per person, 2.30sgd"
ChdDSUhNMG9nS0VJQ0FnSURHd2FhLXhBRRAB,Paradise Hotpot,4,"30% off All Food Ingredients Daily (before 2.30pm*)
40% off All Food Ingredients Daily (from 2.31pm to 4.15pm*)

*based on first order submitted
Terms and Conditions
Discount is valid daily, including eve of/and PH.
30% discount is valid for first order locked-in before 2.30pm.
40% discount is valid for first order locked-in from 2.31pm to 4.15pm.
Valid for dine-in only.
Discount is valid for all ingredients, excluding soup bases, condiments charge and beverages.
Discount is given before service charge and 7% GST.
Not valid in conjunction with other discounts,

FOOD and soup is nice and awesome with the price paid for will be back when they have more promotions!!!"
ChZDSUhNMG9nS0VJQ0FnSURXM2NyR2J3EAE,Paradise Hotpot,4,"Two person ard 90-100$ after discount. Coz portion of meat is quite small, so need to order more portions. In the end overall cost similar to other steamboat restaurants. Food is fresh. Cabbage is not good all the root side.  Generally I prefer beauty in the pot under the same group."
ChdDSUhNMG9nS0VJQ0FnSUQybmVqQXZBRRAB,Paradise Hotpot,5,"Visited at off peak hours to enjoy their 40% off food ingredients deal. Definetly worth it and their tomato soup base was definitely one of the best out there, and the food ingredients we ordered was good too as well."
ChdDSUhNMG9nS0VJQ0FnSURtME9XRjd3RRAB,Paradise Hotpot,5,"A hidden gem on par with BIAP - this place is easily overlooked with a hole-in-the-wall entrance nestled between seemingly grander food options and we were really surprised by how it opens up to an unexpectedly spacious and cavernous dining area. The pork bone soup tasted EXACTLY like BIAP’s collagen soup and they even had the signature bean curd rolls?! With their 3-5pm 40% off it’s like getting BIAP for half the price. Everything we got was amazing as always for a restaurant under the paradise group; must order items include the bean curd roll, ebiko prawn paste and ramen.

Coming back for the 4th time on 28/3/22. Our staples for 3 ppl include:
- 1 portion of beef
- 1/2 portion of pork belly
- mushrooms: oyster, enoki, king oyster (not recommended to get shimeji as they swim around n get lost in the soup)
- pork and chive dumpling
- ebiko prawn paste
- 2 x ramen
- bean curd skin roll
- veggies: cabbage, tang-o
- condiments! My personal fav includes vinegar, soy sauce, chili oil, garlic, spring onions and parsley."
ChdDSUhNMG9nS0VJQ0FnSUNtdVpHeDVnRRAB,Paradise Hotpot,5,Really love this place for steamboat! Really recommend it ! Products are so fresh and clean! The pork broth is really good as well!
ChZDSUhNMG9nS0VJQ0FnSURHNks2U1RnEAE,Paradise Hotpot,5,"Definitely my favourite Hotpot Restaurant with individual pot of soup🥰. U can share a pot for 2 pax too. All the ingredients are really fresh and most importantly, have tried about 4types of their soup base so far and it's all been really yummy especially tomato🍅 base. #msgreedysis #greedybuddiez"
ChZDSUhNMG9nS0VJQ0FnSURxdTY3RkdBEAE,Paradise Hotpot,3,"We found the unit price of each food item increases quite a lot, almost 20 to 30% compared to last time we came about one year ago, though they still offered 40% during 2:30 to 4:30, for 2 pax, it costs almost 100 to get just 70% full.
The service is faster this time compared to one year ago, food itself is fresh and they do have Sacha souce that is quite rare to find in Singapore."
ChZDSUhNMG9nS0VJQ0FnSURHel9hZUF3EAE,Paradise Hotpot,4,"My first time here, service 👍 due to service charge also, some customers will give tips after paid bills. When busy peak period, slower waiting time.....me alone spend $30++"
ChZDSUhNMG9nS0VJQ0FnSURPLXV6SlZnEAE,Paradise Hotpot,5,Tomato soup base is rich and flavourful. Sevice is great.
ChZDSUhNMG9nS0VJQ0FnSURDaHVlY2VREAE,Paradise Hotpot,4,"Served with individual pot cook under portable gas stove which may taste better but it always ran out of gas for like 3 times throughout the dining.
Services are not comparable to HaiDiLao but prices are almost the same - may be slightly more expensive if it’s not for the member voucher used.
Food are pretty good and soup is tasty which is a good change from your usual HaiDiLao menu.

May worth consider visiting during non-peak hours which has a promotion 40% going on between 2 - 4 pm on weekdays."
ChZDSUhNMG9nS0VJQ0FnSUMwcDk3YkRBEAE,Paradise Hotpot,5,"Spacious with soothing decor, clean and new, comfortable environment. Slightly different concept from their beauty in a pot branches as this gives you individual pots on a burner at your table. I guess it makes it slightly hard to see what’s in your pot and less options for soup base, but you get exclusivity! Also, they have kindly sorted into sets for the number of pax with all the popular ingredients (yay fried beancurd!) thus you don’t have to mull over what’s best to order. You can’t change any items in the set though.

The sets are really filling and gives you a bit of everything which is really nice. We took a 2 pax set $48.80++ and that excludes sauces ($2.20++ per pax). We added some beef and fried luncheon meats too. Water is not complimentary and chargeable at $0.30++ per glass refillable.

Their soup bases are similar (and more) as paradise beauty in a pot with the exclusion of collagen soup not available for sets. I stuck to my usual tomato (would have loved to have mushroom soup) but would try to be more adventurous next time.

Ingredients provided are fresh and the meatballs are really good and most tasted handmade.

Service is also polite and warm, with service staff constantly refilling your soup or water, and reminding you with little tips.

Do sign up for their membership to get rebates across their entire group of restaurants"
ChdDSUhNMG9nS0VJQ0FnSUNZaWFIOHF3RRAB,Paradise Hotpot,5,"I’ve visited Paradise Hotpot a couple of times — it has a similar concept to Beauty in A Pot / Haidilao except each person has their own little hotpot. It’s also has a similar price point as the two other restaurants stated above, but the difference is Paradise Hotpot offers a really great promo (40% off the total bill if you dine at off-peak hours), which makes it quite reasonable.

I don’t have any complaints about the ingredients. The seafood and vegetables are fresh, and I also enjoy the innards (eg kidney and liver). My favourite soup base is the pork soup, but I’ve also heard good reviews of the beef bone and chicken soup!

Service staff are attentive so that’s a plus. Overall, good atmosphere and good food, and a pleasant experience! I’ll definitely come again."
