uid,restaurant name,rating,content
ChdDSUhNMG9nS0VJQ0FnSUNDanVtWW1BRRAB,OUE Social Kitchen,5,"Hashida Private Dining.
Chef Hatch is having his pop up restaurant here at OUE Social kitchen in a casual cozy setting.
- We had the Omakase course and I sort of lost count on the number of times that was served 😆
- Service by his crew was impeccable, with little details well taken care of.
- We were very well pampered and I made sure I booked my spot for next month before leaving 👍🏼"
ChdDSUhNMG9nS0VJQ0FnSURDX0xINHRnRRAB,OUE Social Kitchen,5,"This is my third time to attend her cooking classes.  This time is the Chicken Xiao Long Bao.  It is awesome and the Chef Payal is the Best.  Her class is well organized and I learnt a lot from making the chicken stock to how to make dumplings. Of course, the Xiao Long Bao is seriously delicious and juicy! Highly highly recommended her cooking classes to everyone!  👍"
ChdDSUhNMG9nS0VJQ0FnSUNRNzZMTndBRRAB,OUE Social Kitchen,5,Nice place to host birthday party! U can do your cooking here with every kitchen essentials are provided. The best part is u can just leave after party and someone will do the cleaning up. NICE!
ChdDSUhNMG9nS0VJQ0FnSUNROExYWTh3RRAB,OUE Social Kitchen,5,"Great concept! Affordable cook your own lunch with team mates / dinner with friends session in a condusive small group environment. Our session was a paella night, $60 per group of 5. As shown, paella kit was provided. Totatally enjoyable...we went hungry, waiting and salivating. When its done, we just ate right from the pan at the induction stove. Every group will somehow find their own cosy corner. Small pot of paella yet satisfying return for everyone.  Friendly instructor and crew who will drop by to guide you when you need a tip or 2 during the cooking process.

Booking was promptly responded and payment was easily done through bank transfer.

Thumbs up and definitely recommended! =)

[Added - Mee Hoon Kueh lunchtime session. Awesome fun during lunchtime...though it states 45minutes in total, prepare for 1.5hr to cook and enjoy your masterpiece and hangout for awhile at OUE social kitchen."
ChdDSUhNMG9nS0VJQ0FnSURLcHF6NGtBRRAB,OUE Social Kitchen,5,"We attended the dumpling cooking class and learned how to make dumblings with 3 different fillings from scratch (we even did the dough ourselves). It is a lovely place, the session was well organized and the cooking stations are spacious and well equipped. We will definitely try it again at home 😊 - highly recommended!"
ChZDSUhNMG9nS0VJQ0FnSUNncGUyMFJREAE,OUE Social Kitchen,5,"Fun concept for a gathering. Cook & eat together. Best thing is fuss free after cook, you don't need to clean up the mess. Haha!"
ChdDSUhNMG9nS0VJQ0FnSURXLWFLdG9nRRAB,OUE Social Kitchen,5,Great venue for team building! Highly recommended. Thanks Kingsley for facilitating the session !!
ChdDSUhNMG9nS0VJQ0FnSUNDcVBhNXNnRRAB,OUE Social Kitchen,5,Fun time with girlfriends! Cooking is fun when the dirty dishes disappear as you put them in the sink!  Chef Elsie was very patient in explaining the steps and gave us tips on how to make full use of the ingredients. Thanks for the fun experience!
ChZDSUhNMG9nS0VJQ0FnSUNVZ0xPdENBEAE,OUE Social Kitchen,4,Well equipped but would have been a better for participants to have single hands on experience for the complete execution of the dish. Having to share a workstation with strangers limits the full range of the cooking experience and having to compromise on performance of others in the group. I didn't sign up for a corporate bonding event.
ChZDSUhNMG9nS0VJQ0FnSUN3cHNYeGNnEAE,OUE Social Kitchen,4,"Tapas sharing concept, you can order some big and small plates to share. It all adds up quite substantially though so probably would recommend only for occasions you are prepared to splurge more. However it’s quite. A bustling environment. Dishes are quite innovative and delicious. Best to make reservations. Service is good."
ChdDSUhNMG9nS0VJQ0FnSUM4NHBLSHB3RRAB,OUE Social Kitchen,5,"Tried their live zoom cooking session last saturday.
Fun and relax session. Easy to follow as well.

Ingredient were delivered to me directly, which was great!

Recipe: Surf & Turf"
ChZDSUhNMG9nS0VJQ0FnSUNvOEpIS1BnEAE,OUE Social Kitchen,5,Very nice kitchen facilities with chef and facilitators around for guidance always
ChZDSUhNMG9nS0VJQ0FnSUNVdS12dmZ3EAE,OUE Social Kitchen,4,Interesting place for a team or company activity - The cooking is simple enough to follow but any bits of experience will help. Ingredients are prepared in such a way that the most difficult parts are already done for you.
ChdDSUhNMG9nS0VJQ0FnSURBNjY3QzZBRRAB,OUE Social Kitchen,5,"Love this place. Great for team bonding, family bonding or just a fun gathering with friends. Love the concept, affordable pricing, and best of all, no cleaning after cooking. Will definitely be back."
ChdDSUhNMG9nS0VJQ0FnSUNDN0pfWG5nRRAB,OUE Social Kitchen,5,"Amazing event team offering a range of cooking lessons, super organised and the recipes are easy to follow!"
ChZDSUhNMG9nS0VJQ0FnSUQwNnMta2FnEAE,OUE Social Kitchen,4,The chefs are helpful here. We came for a corporate event. The ingredients are measured out already.
ChdDSUhNMG9nS0VJQ0FnSUNDLUphVnpnRRAB,OUE Social Kitchen,5,Friendly and nice staffs! Fun time gathering! Will definitely come back again!
ChdDSUhNMG9nS0VJQ0FnSUQwdHRETjN3RRAB,OUE Social Kitchen,5,A very fun and interactive team bonding place. A must try social and corporate event...
