uid,restaurant name,rating,content
ChZDSUhNMG9nS0VJQ0FnSUR1cklmdFh3EAE,Heng Hua Restaurant,4,"Located some distance away from the mrt. The omelette, fried rice and red wine chicken are good. The cold trotters wasn't to my liking as there was just much more skin than meat. Overall taste is reasonably good but nothing especially outstanding.

Price wise seems quite standard."
ChdDSUhNMG9nS0VJQ0FnSURPbFk2UmtRRRAB,Heng Hua Restaurant,5,"Make a reservation so that can save time in waiting.
Food is served very fast and swift.
Loves the fresh cockles with its lotsa garlic that is seasoned so well.
Sweet and Sour Pork is crispy and tasted great.
Steamed Sea Bass is Fresh and meat is tender.
Fried Toufu is so so soft and delicious.
The Xing Hua Bee Hoon and Lor Mee have that nostalgic taste.
Fried Yam is well crispy and soft.
Overall taste is like the Putien Restaurant and price is simply half of it."
ChdDSUhNMG9nS0VJQ0FnSURHbDdiTC1RRRAB,Heng Hua Restaurant,5,"Quality of food is always there 😋 for the past 2 yrs. For 3/4 of us, we  ordered small size dishes and medium for noodles;  pretty good value for money.

Need to queue a while during Friday night dinner hours."
ChZDSUhNMG9nS0VJQ0FnSURXbU5YSU1BEAE,Heng Hua Restaurant,5,"One of the better Heng Hua food around. Been a customer for many years. Quality has been consistent so far. But it’s a small shop, and only has a few tables. So try to come earlier unless you don’t mind waiting."
ChdDSUhNMG9nS0VJQ0FnSUN1MjdiZXFBRRAB,Heng Hua Restaurant,4,"Service was fast and efficient. The Bee Hoon quite dry and too little vegetables - 3☆. The deep fried chicken Thai style not much flavor. Just the sweet sauce to enhance the taste 2☆. Fortunately the stir fried Mustard with dried shrimp and the deep fried Tenggui Fish are the winner 5☆. Mustard is simple and crunchy. Fish is fresh and crispy.
Ordered takeaway Lor mee and fried Sliced Yam which should be good."
ChZDSUhNMG9nS0VJQ0FnSUQyM2NiVklnEAE,Heng Hua Restaurant,2,"Food - 3.8/5
Waiting time - 1/5
Service - 1/5

Food:
More affordable than putien restaurant. Taste decent, like any good standard zhi char stall, but wont say extraordinary. Menu was comprehensive.

Waiting time:
Dabaoed food for Sunday dinner. Placed order at 6.10pm, which i thought was pretty early. But only received the food at 7.10pm and after atleast 5 times of asking to check on my order.

Service:
Understandable that shop is crowded and everyone was busy. But when i keep asking the helpers to check on my order, they always ask the main guy directing the flow, and in the end no reply was given. Went directly to the main guy to ask to check, he didn't even look at the orders he had in hand and told me to come back 15min, and say its cooking already. Went back 10min later to check again, and asked if the dishes even started cooking. And he finally went to take a look and hurried his chefs on my order. Just felt he should be honest about the situation. If the dishes were not cooked, just be truthful. At least we can better estimate our own waiting time and not be a fool standing there and waiting. Also they seem to have another order line which people call in and ordered, and paid when they come to collect. Those orders and those eat in orders seemed to be prioritied compared us who took the effort to walk in and order, and even paid upfront. Really upset about this whole situation.

Those who intend to try the stall can perhaps catch them at the off peak hours, or try calling in to see if u can pre order. All the best."
ChZDSUhNMG9nS0VJQ0FnSURta1BYUE13EAE,Heng Hua Restaurant,5,"Journey to the North for affordable Putien Food. Aside from the must order Heng Hua Style Fried Bee Hoon & Heng Hua Style Lor Mee, highly recommended to try their Stir-Fried Sliced Yam. The Yam cubes are slightly crispy on the outside coated with some sweet sauce while it’s soft and mushy inside. I can just order this as a meal for myself, it’s so good!
.
Location: Heng Hua Restaurant, Yishun Street 72, #01-212 Block 748, Singapore 760748"
ChZDSUhNMG9nS0VJQ0FnSURPdDhDZmFREAE,Heng Hua Restaurant,4,"Good food and fast service. Yam and bee hoon were amazing, definitely should order this two dishes when visiting."
ChZDSUhNMG9nS0VJQ0FnSUR1blBUdWRnEAE,Heng Hua Restaurant,4,"Came down here for some HengHwa cuisine, ahhh… never disappoint! Gotta make reservation if you are coming down during dinner time. Will come back!"
ChZDSUhNMG9nS0VJQ0FnSURhcl8yS0lnEAE,Heng Hua Restaurant,5,"Ordered the set for 2, just nice. Soup come w 6 fresh prawns which 3 of them are big, worth the $. Reasonable price n worth to try. Highly recommend."
ChdDSUhNMG9nS0VJQ0FnSUQ2eXRudHp3RRAB,Heng Hua Restaurant,5,"One restaurant is at the end of the block. It is worth waiting (not many seats). The Heng Hua rice noodle (Bee Hoon) is a must-try; although this is on the dry side, you have a different sensory while having it. Must try the blood cockles, which is now seldom available. The braised pork leg is the highlight of the meal; however, beware of the fats. The sweet and sour fish is also quite interesting, although deep-fried, it's so well done that you might want to go back to get more. Wear light clothing it's warm eating there."
ChZDSUhNMG9nS0VJQ0FnSURXanJPWFBREAE,Heng Hua Restaurant,4,Nice food at reasonable price. We came around 11.45am. Total bill was $57.40 for 4 pax. 😁👍🏻
ChdDSUhNMG9nS0VJQ0FnSURHXzZQQzhRRRAB,Heng Hua Restaurant,3,1st visit here since we moved to this vicinity. Lor Mee tastes like Ban Mian with a lighter touch & okay soup base. Fried bee Hoon was dry and rather bland. Best is their See Hum blood cockles drenched in raw spicy garlic and sweetish sauce.
ChdDSUhNMG9nS0VJQ0FnSUNHMGUyX2xnRRAB,Heng Hua Restaurant,4,"Herbs-Food Prawns in Bamboo Shoot, Deep Fried Slices of Tenggui Fish, Braised Bean Curd Skin with Kailan, Heng Hwa Mee Sua, Oyster Omelette. The restaurant putien has its origins in a coffee shop and has grown to become a Michelin worthy restaurant. If you still prefer the good old coffeeshop style, this Heng Hua cuisine which still operates under a HDB is an option and at an affordable one as well."
ChdDSUhNMG9nS0VJQ0FnSUNld3NMX2d3RRAB,Heng Hua Restaurant,5,Tried their 4 pax menu and we were decently full! The lor mee is comparable to many other places I’ve tried and the fish was tasty. Never tried fried yam before but I think they made it quite well.
ChdDSUhNMG9nS0VJQ0FnSUNpdjlHNGdRRRAB,Heng Hua Restaurant,4,Authentic food at economical price. Quite crowded at meals time.. better call to reserve in advance.
ChdDSUhNMG9nS0VJQ0FnSURxdTQ2RXJBRRAB,Heng Hua Restaurant,4,"Rare gem found in Singapore, foods serve here was nice, you can imagine the satisfication of 3 pax from the pictures post here~ 😝(don't doubt on us, it's really 3 pax only in total)"
ChZDSUhNMG9nS0VJQ0FnSUR1dlBudVdBEAE,Heng Hua Restaurant,4,NICEEEEE ❤️ Love the food here. Yummy. Will bring my family here to try.
ChZDSUhNMG9nS0VJQ0FnSUNLMm9PRlNBEAE,Heng Hua Restaurant,4,"Pretty decent and value for money food. Having read mixed reviews I decided to trust the average rating. Yes it is a small place in a neighborhood. Adjust your expectations a little, it'll be an enjoyable experience. Not saying it's a lousy place, it's a neighborhood store, don't expect putien in a mall experience. I ordered take away and it was rather busy with dine in and take aways as well. Recommended and will return again."
ChdDSUhNMG9nS0VJQ0FnSUR1M2FLaW53RRAB,Heng Hua Restaurant,5,Cheap and authentic Xin hua cuisine.
ChZDSUhNMG9nS0VJQ0FnSUMyb3NQMklBEAE,Heng Hua Restaurant,5,Authentic Xing Hua foods. Affordable price and big portion.
ChZDSUhNMG9nS0VJQ0FnSUR1c0xxMEZ3EAE,Heng Hua Restaurant,5,"Good food. I tried steamed seabass $28 , dry fish hor fun $15, homemade tofu, garlic veg, tea n coke. All food was great. Spent about 65.

They accept credit card and have baby chairs."
ChZDSUhNMG9nS0VJQ0FnSUNHb3Etd1h3EAE,Heng Hua Restaurant,4,Nice & reasonably priced. It's a small restaurant selling 'xing hua' dishes.
ChdDSUhNMG9nS0VJQ0FnSURxN3M3VXZBRRAB,Heng Hua Restaurant,2,"Went to this place at 520pm, was not crowded at all. However, despite the low crowd levels, the waitress was still very impatient in taking our order. She got irritated when we changed our order and ignore us when we tried to confirm the order one last time and just walked away. So upsetting as we visited the place with high expectations. Poor service! The food is not bad, a 6.5 upon 10."
ChdDSUhNMG9nS0VJQ0FnSUQ4MTR5SzRRRRAB,Heng Hua Restaurant,4,"This restaurant has been around for>10years, churning out tasty Heng Hua dishes. Always crowded during meal timing, so expect a 15 min wait and dishes will not be served all a once, so pace yourself.
Loves the HH Bee Hoon as it reminds me of my childhood where my neighbor is HH, auntie's HH home cook Bee Hoon was fantastic. Medium Size is able to feed family of 3 well.
The HH Lo Mee is tasty, my wife's favorite, nice stock. Nice noodle texture 🍜.
Reasonably priced dishes, good menu selections.
Still have room for improvement on the attitude of service staffs."
ChZDSUhNMG9nS0VJQ0FnSUNxNl9DbkdREAE,Heng Hua Restaurant,4,The bee hoon was quite special because it was so thin. I liked the candied yam too. But the rest were about average.
